row_id,event_time,transaction_id,customer_id,sales_amount,activity_count,status,ingestion_time
1,2026-08-29 09:00:00,TXN0001,CUST001,820,1,SUCCESS,2026-08-29 09:10:00
2,2026-08-29 10:00:00,TXN0002,CUST002,910,1,SUCCESS,2026-08-29 10:10:00
3,2026-08-29 11:00:00,TXN0003,CUST003,870,1,SUCCESS,2026-08-29 11:10:00
4,2026-08-29 12:00:00,TXN0004,CUST004,950,1,SUCCESS,2026-08-29 12:10:00
5,2026-08-29 13:00:00,TXN0005,CUST005,1020,1,SUCCESS,2026-08-29 13:10:00
6,2026-08-29 14:00:00,TXN0006,CUST006,980,1,SUCCESS,2026-08-29 14:10:00
7,2026-08-29 15:00:00,TXN0007,CUST007,1100,1,SUCCESS,2026-08-29 15:10:00
8,2026-08-29 16:00:00,TXN0008,CUST008,1060,1,SUCCESS,2026-08-29 16:10:00
9,2026-08-29 17:00:00,TXN0009,CUST009,990,1,SUCCESS,2026-08-29 17:10:00
10,2026-08-29 18:00:00,TXN0010,CUST010,1150,1,SUCCESS,2026-08-29 18:10:00
11,2026-08-29 19:00:00,TXN0011,CUST001,1080,1,SUCCESS,2026-08-29 19:10:00
12,2026-08-29 20:00:00,TXN0012,CUST002,1120,1,SUCCESS,2026-08-29 20:10:00
13,2026-08-29 21:00:00,TXN0013,CUST003,1050,1,SUCCESS,2026-08-29 21:10:00
14,2026-08-29 22:00:00,TXN0014,CUST004,1180,1,SUCCESS,2026-08-29 22:10:00
15,2026-08-29 23:00:00,TXN0015,CUST005,1210,1,SUCCESS,2026-08-29 23:10:00
16,2026-08-30 00:00:00,TXN0016,CUST006,1160,1,SUCCESS,2026-08-30 00:10:00
17,2026-08-30 01:00:00,TXN0017,CUST007,1090,1,SUCCESS,2026-08-30 01:10:00
18,2026-08-30 02:00:00,TXN0018,CUST008,1240,1,SUCCESS,2026-08-30 02:10:00
19,2026-08-30 03:00:00,TXN0019,CUST009,1190,1,SUCCESS,2026-08-30 03:10:00
20,2026-08-30 04:00:00,TXN0020,CUST010,1270,1,SUCCESS,2026-08-30 04:10:00
21,2026-08-30 05:00:00,TXN0021,CUST001,1220,1,SUCCESS,2026-08-30 05:10:00
22,2026-08-30 06:00:00,TXN0022,CUST002,1300,1,SUCCESS,2026-08-30 06:10:00
23,2026-08-30 07:00:00,TXN0023,CUST003,1260,1,SUCCESS,2026-08-30 07:10:00
24,2026-08-30 08:00:00,TXN0024,CUST004,1350,1,SUCCESS,2026-08-30 08:10:00
25,2026-08-30 09:00:00,TXN0025,CUST005,1290,1,SUCCESS,2026-08-30 09:10:00
26,2026-08-30 10:00:00,TXN0026,CUST006,1320,1,SUCCESS,2026-08-30 10:10:00
27,2026-08-30 11:00:00,TXN0027,CUST007,1380,1,SUCCESS,2026-08-30 11:10:00
28,2026-08-30 12:00:00,TXN0028,CUST008,1340,1,SUCCESS,2026-08-30 12:10:00
29,2026-08-30 13:00:00,TXN0029,CUST009,1410,1,SUCCESS,2026-08-30 13:10:00
30,2026-08-30 14:00:00,TXN0030,CUST010,1360,1,SUCCESS,2026-08-30 14:10:00
31,2026-08-30 15:00:00,TXN0031,CUST001,1450,1,SUCCESS,2026-08-30 15:10:00
32,2026-08-30 16:00:00,TXN0032,CUST002,1420,1,SUCCESS,2026-08-30 16:10:00
33,2026-08-30 17:00:00,TXN0033,CUST003,1480,1,SUCCESS,2026-08-30 17:10:00
34,2026-08-30 18:00:00,TXN0034,CUST004,1500,1,SUCCESS,2026-08-30 18:10:00
35,2026-08-30 19:00:00,TXN0035,CUST005,1460,1,SUCCESS,2026-08-30 19:10:00
36,2026-08-30 20:00:00,TXN0036,CUST006,3200,1,SUCCESS,2026-08-30 20:10:00
37,2026-08-30 21:00:00,TXN0037,CUST007,400,1,SUCCESS,2026-08-30 21:10:00
38,2026-08-30 22:00:00,TXN0038,CUST008,60000,1,SUCCESS,2026-08-30 22:10:00
39,2026-08-30 23:00:00,TXN0039,CUST009,250000,1,SUCCESS,2026-08-30 23:10:00
40,2026-08-31 00:00:00,TXN0040,CUST010,0,0,NO_ACTIVITY,2026-08-31 00:10:00
41,2026-08-31 01:00:00,TXN0041,CUST001,0,0,NO_ACTIVITY,2026-08-31 01:10:00
42,2026-08-31 02:00:00,TXN0042,CUST002,1550,1,SUCCESS,2026-08-31 02:10:00
43,2026-08-31 03:00:00,TXN0042,CUST002,1550,1,SUCCESS,2026-08-31 03:10:00
44,2026-08-31 04:00:00,TXN0044,,1600,1,SUCCESS,2026-08-31 04:10:00
45,2026-08-31 05:00:00,TXN0045,,1650,1,SUCCESS,2026-08-31 05:10:00
46,2026-08-31 06:00:00,TXN0046,,1700,1,SUCCESS,2026-08-31 06:10:00
47,2026-08-31 07:00:00,TXN0047,CUST007,1700,1,SUCCESS,2026-08-29 10:00:00
48,2026-08-31 08:00:00,TXN0048,CUST008,1750,1,SUCCESS,2026-08-29 10:00:00
49,2026-08-31 09:00:00,TXN0049,CUST009,1800,1,SUCCESS,2026-08-29 10:00:00
50,2026-08-31 10:00:00,TXN0050,CUST010,1850,1,SUCCESS,2026-08-29 10:00:00
